brier_majority_label,disagreement_bin,item_id,jsd,model_distribution_entropy,model_id,source_entropy,source_entropy_normalized,total_variation_distance
0.024000000000000004,moderate_consensus,scruples_anecdotes::train::t5At0OlVcYAXe1TRygrqIIS3kD1M6wwB,0.044427498187958145,1.3567796494470397,deepseek/deepseek-v3.2,1.1635402011210707,0.5011094889988462,0.1421052631578948
0.019960000000000002,high_consensus,scruples_anecdotes::train::7qBdC93T6VnrQEotm2FG6qCaVvbaVdzW,0.018619552145384483,1.3971245697587873,claude-sonnet-4-6,0.9543095546405662,0.4109987543291517,0.12
0.17,low_consensus,scruples_anecdotes::train::1M6T433GZaA9pKKlRrVItI0r2jLR2zNa,0.09637468057134871,2.1211274733371868,gpt-5.5,1.8498687225851778,0.7966950943306088,0.338235294117647
0.021720000000000003,low_consensus,scruples_anecdotes::train::qXl3l0dnv9tn0eiRwy8lEBhjcoU0bgw5,0.07698196740828316,1.3079277243733474,gpt-5.5,1.733626382023451,0.7466322431950891,0.22586206896551725
0.046000000000000006,moderate_consensus,scruples_anecdotes::train::zb0yMLSR1yeZFiN8pGsI5DvcFJ829eLG,0.0621011382706765,1.590468570732828,qwen/qwen3.7-max,1.1384946989122469,0.49032297831233046,0.23524590163934428
0.31076000000000004,low_consensus,scruples_anecdotes::train::QrgRq6LjTpVp2OZtLs3kLKLoJ2U411KU,0.4334095984711306,1.0704756246100957,qwen/qwen3.7-max,1.8799649487271108,0.809656833416415,0.6888888888888889
0.255,diffuse,scruples_anecdotes::train::qbigFgczKse7eckEklSx59RVJj12iBZe,0.1586696183910261,1.4166422780956525,deepseek/deepseek-v3.2,2.113283334294875,0.9101415926479804,0.40555555555555556
0.0016399999999999987,moderate_consensus,scruples_anecdotes::train::Juz932piMHJxxgO3BSerde1BEG1pZo59,0.03232865979766604,0.5546303151806381,gpt-5.5,1.1063667712836147,0.4764862330232001,0.12689655172413794
0.28796,diffuse,scruples_anecdotes::train::x4s4zj8SpYxhpwCLE2aaX6SuOJjTCQnX,0.2170643789875381,1.3971245697587873,gpt-5.5,1.9552558992251077,0.8420828808309665,0.48
0.017400000000000002,low_consensus,scruples_anecdotes::train::QxNkuWFjRVREtVSvjPnpilIgBDzySZHm,0.0178457285839682,1.3175064201116293,gpt-5.5,1.6729330318733675,0.7204930400545079,0.11272727272727273
0.0019199999999999987,high_consensus,scruples_anecdotes::train::hU2GXLGFJZvTBxOtwuI17N0fzDttxohR,0.05064451713464646,0.48217919020227284,grok-4.3,1.0834189322427712,0.46660313668986736,0.11047619047619048
0.0044800000000000005,diffuse,scruples_anecdotes::train::1Z6WCZDxnJECoYAurMkUKMSqs6fELwxr,0.15878231644106783,0.7863025388975948,gpt-5.5,1.962806631693174,0.8453348043012463,0.4033333333333333
0.0016399999999999987,diffuse,scruples_anecdotes::dev::KrMdxnFNbWK9ybsHqmWElQnJqYkjtVMZ,0.24493586903012665,0.5546303151806381,qwen/qwen3.7-max,1.6190448592087603,0.6972846673304501,0.46351351351351355
0.031999999999999994,moderate_consensus,scruples_anecdotes::train::UwNDKPsoUPNtrMA7OSb6Bga7ih8jzKpw,0.014361795817665883,1.578897902987479,gpt-5.5,1.5058762556041068,0.6485456026480259,0.09615384615384613
0.005000000000000001,low_consensus,scruples_anecdotes::train::KzmK6yQseOypU9fq12TdnevuKamur1jI,0.10262389064749683,0.8536232209649176,gpt-5.5,1.6390001550191315,0.7058789454453973,0.3116129032258065
0.28700000000000003,diffuse,scruples_anecdotes::train::DfF7LVEjN56rbFIyLBCPgtpGQnLXFh20,0.24740004265080928,1.490468570732828,grok-4.3,1.9143411836123523,0.8244618719363133,0.4115384615384615
0.005760000000000001,high_consensus,scruples_anecdotes::train::natB04TQZ8HquIOrHSFumeoRB9rd6aIJ,0.03757866452809145,0.8961322095473072,deepseek/deepseek-v3.2,0.2373108783719698,0.10220423229061357,0.12241379310344826
0.00396,low_consensus,scruples_anecdotes::dev::4RgUxnLxuTrMFxsf01AOEqlmIattJeo9,0.06345837371349893,0.7244586153306337,qwen/qwen3.7-max,1.5693078231812958,0.6758640918453694,0.23294117647058823
0.31412,diffuse,scruples_anecdotes::train::knB6GviK7NDnQYSuqIMySrevvnykc0Jn,0.26385415158274883,0.8683250190360435,qwen/qwen3.7-max,1.971747257128181,0.8491853220906186,0.5772727272727273
